"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"WHEAT - CHICAGO BOARD OF TRADE" ,861231 ,1986-12-31,001601 ,CBT ,00 ,001 ,   115765,  20585,   7285,   2615,  24505,  37730,  47705,  47630,  68060,  68135,    85065,  20020,   7150,   1185,  17345,  28395,  38550,  36730,  46515,  48335,    30700,   1600,   1170,    395,   7160,   9335,   9155,  10900,  21545,  19800,   -10515,  -6720,   2160,  -4460,   9685, -14390,  -1495, -16690,  -9020,   6175,  100.0,   17.8,    6.3,    2.3,   21.2,   32.6,   41.2,   41.1,   58.8,   58.9,  100.0,   23.5,    8.4,    1.4,   20.4,   33.4,   45.3,   43.2,   54.7,   56.8,  100.0,    5.2,    3.8,    1.3,   23.3,   30.4,   29.8,   35.5,   70.2,   64.5,     56,     17,      7,      3,     16,     21,     34,     31,     50,     16,      7,      2,     11,     18,     29,     26,     14,      2,      2,      1,      6,      4,      9,      6,    14.1,    20.8,    20.8,    26.1,    12.5,    19.0,    18.9,    23.7,    16.4,    22.0,    25.1,    28.3,    16.4,    22.0,    25.1,    28.0,    19.7,    31.6,    28.5,    35.5,    19.7,    31.4,    28.5,    34.2,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,861215 ,1986-12-15,001601 ,CBT ,00 ,001 ,   126280,  27305,   5125,   7075,  14820,  52120,  49200,  64320,  77080,  61960,   100870,  28405,   5160,   5340,   8070,  43890,  41815,  54390,  59055,  46480,    25410,    635,   1700,      0,   6750,   8230,   7385,   9930,  18025,  15480,   -17240,  -5630,   2185,  -4260,   1235, -13090,  -8655, -15165,  -8585,  -2075,  100.0,   21.6,    4.1,    5.6,   11.7,   41.3,   39.0,   50.9,   61.0,   49.1,  100.0,   28.2,    5.1,    5.3,    8.0,   43.5,   41.5,   53.9,   58.5,   46.1,  100.0,    2.5,    6.7,    0.0,   26.6,   32.4,   29.1,   39.1,   70.9,   60.9,     61,     22,      8,      8,     13,     20,     41,     33,     58,     24,      8,      5,      9,     19,     36,     30,     13,      1,      3,      0,      6,      3,      7,      6,     9.6,    28.4,    16.5,    34.5,     9.2,    25.9,    14.8,    30.7,     9.6,    29.7,    17.6,    36.1,     9.2,    27.6,    16.2,    33.6,    22.4,    35.1,    29.1,    39.1,    22.4,    35.1,    29.1,    39.1,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,861128 ,1986-11-28,001601 ,CBT ,00 ,001 ,   143520,  32935,   2940,  11335,  13585,  65210,  57855,  79485,  85665,  64035,   122320,  34075,   2345,   9645,   9450,  60110,  53170,  72100,  69150,  50220,    21200,    550,   2285,      0,   4135,   5100,   4685,   7385,  16515,  13815,    -4920,   6345,  -2385,  -1820,  -4150,   9635,    375,   5430,  -5295, -10350,  100.0,   22.9,    2.0,    7.9,    9.5,   45.4,   40.3,   55.4,   59.7,   44.6,  100.0,   27.9,    1.9,    7.9,    7.7,   49.1,   43.5,   58.9,   56.5,   41.1,  100.0,    2.6,   10.8,    0.0,   19.5,   24.1,   22.1,   34.8,   77.9,   65.2,     67,     26,      9,     12,      8,     22,     44,     38,     64,     27,      7,     10,      6,     22,     41,     35,     10,      1,      3,      0,      4,      2,      5,      5,     9.5,    31.4,    15.3,    36.8,     8.2,    28.6,    13.5,    33.6,     8.8,    32.7,    15.6,    39.0,     7.9,    30.0,    14.1,    36.3,    19.5,    32.5,    22.1,    34.8,    19.5,    32.5,    22.1,    34.8,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,861114 ,1986-11-14,001601 ,CBT ,00 ,001 ,   148440,  26590,   5325,  13155,  17735,  55575,  57480,  74055,  90960,  74385,   127405,  31320,   4995,   8425,  12865,  51605,  52610,  65025,  74795,  62380,    21035,      0,   5060,      0,   4870,   3970,   4870,   9030,  16165,  12005,   -16950, -15060,    125,    275,   1455, -23010, -13330, -22610,  -3620,   5660,  100.0,   17.9,    3.6,    8.9,   11.9,   37.4,   38.7,   49.9,   61.3,   50.1,  100.0,   24.6,    3.9,    6.6,   10.1,   40.5,   41.3,   51.0,   58.7,   49.0,  100.0,    0.0,   24.1,    0.0,   23.2,   18.9,   23.2,   42.9,   76.8,   57.1,     69,     25,      9,     12,     11,     26,     44,     43,     68,     29,      6,      8,      9,     25,     42,     38,     11,      0,      4,      0,      4,      3,      4,      7,     9.3,    25.7,    15.2,    30.7,     8.7,    24.0,    13.9,    27.5,     9.2,    27.1,    15.7,    32.3,     9.1,    26.4,    15.3,    30.9,    23.2,    35.0,    23.2,    42.9,    23.2,    35.0,    23.2,    42.9,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,861031 ,1986-10-31,001601 ,CBT ,00 ,001 ,   165390,  41650,   5200,  12880,  16280,  78585,  70810,  96665,  94580,  68725,   148025,  44140,   4800,   9735,  13060,  75060,  66935,  89595,  81090,  58430,    17365,    655,   3545,      0,   3220,   3525,   3875,   7070,  13490,  10295,   -23070,  -3535,  -2240,  -1195, -12720, -19350, -17450, -22785,  -5620,   -285,  100.0,   25.2,    3.1,    7.8,    9.8,   47.5,   42.8,   58.4,   57.2,   41.6,  100.0,   29.8,    3.2,    6.6,    8.8,   50.7,   45.2,   60.5,   54.8,   39.5,  100.0,    3.8,   20.4,    0.0,   18.5,   20.3,   22.3,   40.7,   77.7,   59.3,     84,     36,      8,     12,     12,     32,     56,     47,     83,     37,      6,      9,     10,     32,     53,     44,     10,      1,      3,      0,      3,      3,      4,      6,     8.8,    28.9,    15.0,    35.3,     7.7,    28.5,    13.8,    34.0,     8.7,    30.3,    15.3,    37.4,     8.4,    30.3,    14.8,    36.8,    22.3,    34.8,    22.3,    40.7,    22.3,    34.8,    22.3,    40.7,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,861015 ,1986-10-15,001601 ,CBT ,00 ,001 ,   188460,  45185,   7440,  14075,  29000,  97935,  88260, 119450, 100200,  69010,   171495,  48105,   4345,  11155,  23530,  95580,  82790, 111080,  88705,  60415,    16965,      0,   6015,      0,   5470,   2355,   5470,   8370,  11495,   8595,    -3105,   8175,  -1180,  -6210,     50,   -575,   2015,  -7965,  -5120,   4860,  100.0,   24.0,    3.9,    7.5,   15.4,   52.0,   46.8,   63.4,   53.2,   36.6,  100.0,   28.1,    2.5,    6.5,   13.7,   55.7,   48.3,   64.8,   51.7,   35.2,  100.0,    0.0,   35.5,    0.0,   32.2,   13.9,   32.2,   49.3,   67.8,   50.7,     86,     36,     10,     11,     14,     33,     58,     49,     84,     38,      6,      9,     13,     33,     57,     45,     12,      0,      6,      0,      4,      2,      4,      8,    10.3,    32.0,    16.3,    39.7,     6.9,    27.8,    12.1,    33.0,    10.4,    34.8,    17.0,    42.6,     7.4,    31.7,    12.5,    36.9,    32.2,    34.3,    32.2,    49.3,    32.2,    34.3,    32.2,    49.3,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,860930 ,1986-09-30,001601 ,CBT ,00 ,001 ,   191565,  37010,   8620,  20285,  28950,  98510,  86245, 127415, 105320,  64150,   172680,  42295,   7555,  13165,  22960,  96685,  78420, 117405,  94260,  55275,    18885,   1835,   8185,      0,   5990,   1825,   7825,  10010,  11060,   8875,    22445,  10180,    525,   4880,  -8835,  19605,   6225,  25010,  16220,  -2565,  100.0,   19.3,    4.5,   10.6,   15.1,   51.4,   45.0,   66.5,   55.0,   33.5,  100.0,   24.5,    4.4,    7.6,   13.3,   56.0,   45.4,   68.0,   54.6,   32.0,  100.0,    9.7,   43.3,    0.0,   31.7,    9.7,   41.4,   53.0,   58.6,   47.0,     87,     36,     14,     17,     13,     29,     59,     52,     85,     40,      9,     11,     12,     29,     56,     46,     17,      3,      9,      0,      4,      1,      7,     10,    11.1,    33.1,    17.0,    41.1,     6.7,    28.8,    11.7,    34.0,    10.7,    36.7,    16.9,    44.5,     7.5,    33.9,    12.9,    39.7,    32.3,    30.2,    41.4,    46.1,    32.3,    30.2,    41.4,    46.1,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,860915 ,1986-09-15,001601 ,CBT ,00 ,001 ,   169120,  26830,   8095,  15405,  37785,  78905,  80020, 102405,  89100,  66715,   155945,  30530,   8275,  10655,  34745,  77740,  75930,  96670,  80015,  59275,    13175,   1050,   4570,      0,   3040,   1165,   4090,   5735,   9085,   7440,     3445,   8725,  -3395,   3345, -11225,  14390,    845,  14340,   2600, -10895,  100.0,   15.9,    4.8,    9.1,   22.3,   46.7,   47.3,   60.6,   52.7,   39.4,  100.0,   19.6,    5.3,    6.8,   22.3,   49.9,   48.7,   62.0,   51.3,   38.0,  100.0,    8.0,   34.7,    0.0,   23.1,    8.8,   31.0,   43.5,   69.0,   56.5,     74,     28,     11,     12,     11,     27,     46,     45,     73,     29,      9,      9,     10,     27,     43,     43,     10,      2,      4,      0,      3,      1,      5,      5,    18.6,    27.5,    25.3,    35.2,    13.4,    22.8,    19.3,    28.0,    18.9,    29.3,    26.1,    37.4,    14.3,    25.4,    20.7,    31.3,    27.2,    39.7,    31.0,    43.5,    27.2,    39.7,    31.0,    43.5,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,860829 ,1986-08-29,001601 ,CBT ,00 ,001 ,   165675,  18105,  11490,  12060,  49010,  64515,  79175,  88065,  86500,  77610,   155925,  19735,  11680,   9870,  46805,  63825,  76410,  85375,  79515,  70550,     9750,    560,   2000,      0,   2205,    690,   2765,   2690,   6985,   7060,    -9680,  -4970,    950,  -1295,   4300,  -1755,  -1965,  -2100,  -7715,  -7580,  100.0,   10.9,    6.9,    7.3,   29.6,   38.9,   47.8,   53.2,   52.2,   46.8,  100.0,   12.7,    7.5,    6.3,   30.0,   40.9,   49.0,   54.8,   51.0,   45.2,  100.0,    5.7,   20.5,    0.0,   22.6,    7.1,   28.4,   27.6,   71.6,   72.4,     66,     20,     14,     10,     12,     22,     36,     44,     66,     21,     13,      9,     11,     22,     34,     44,      6,      1,      2,      0,      2,      1,      3,      3,    25.0,    25.3,    32.1,    32.3,    19.1,    20.4,    23.8,    25.1,    25.7,    26.4,    33.2,    33.4,    19.4,    22.1,    24.4,    27.2,    28.4,    27.6,    28.4,    27.6,    28.4,    27.6,    28.4,    27.6,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,860815 ,1986-08-15,001601 ,CBT ,00 ,001 ,   175355,  23075,  10540,  13355,  44710,  66270,  81140,  90165,  94215,  85190,   168175,  24235,   9365,  12195,  43235,  66270,  79665,  87830,  88510,  80345,     7180,      0,   2335,      0,   1475,      0,   1475,   2335,   5705,   4845,    -2605,  -5355,   3140,   -740,  12355, -17575,   6260, -15175,  -8865,  12570,  100.0,   13.2,    6.0,    7.6,   25.5,   37.8,   46.3,   51.4,   53.7,   48.6,  100.0,   14.4,    5.6,    7.3,   25.7,   39.4,   47.4,   52.2,   52.6,   47.8,  100.0,    0.0,   32.5,    0.0,   20.5,    0.0,   20.5,   32.5,   79.5,   67.5,     68,     20,     15,     13,     13,     24,     40,     47,     68,     22,     13,     12,     13,     24,     40,     46,      4,      0,      3,      0,      1,      0,      1,      3,    21.3,    21.0,    27.7,    29.4,    18.0,    20.7,    23.4,    25.7,    21.3,    21.9,    28.0,    29.8,    17.9,    21.6,    23.5,    26.8,    20.5,    32.5,    20.5,    32.5,    20.5,    32.5,    20.5,    32.5,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
